03:30;NBA Playoffs;New Orleans Pelicans;Oklahoma C. Thunder;NBA League Pass;
10:00;Bruselas Open;2ª Ronda;Premier Padel Tour;Premier Padel YouTube;
11:00;Masters Madrid 1ª Ronda;A. Tabilo;F. Cobolli;ATP Tennis TV;RTVE Play;
11:00;Masters Madrid 1ª Ronda;B. Nakashima;F. Bagnis;ATP Tennis TV;RTVE Play;
11:00;Masters Madrid 1ª Ronda;P. Cachin;S. Ofner;ATP Tennis TV;RTVE Play;
11:00;Masters Madrid 1ª Ronda;T. Kokkinakis;J. Draper;ATP Tennis TV;RTVE Play;
11:00;Masters Madrid 1ª Ronda;T. Machac;E. Ruusuvuori;ATP Tennis TV;RTVE Play;
11:00;Masters Madrid 1ª Ronda;Y. Nishioka;F. Auger-Aliassime;ATP Tennis TV;RTVE Play;
11:00;WTA Madrid 2ª Ronda;D. Vekic;M. Sakkari;WTA TV;RTVE Play;
11:00;WTA Madrid 2ª Ronda;M. Keys;I. Begu;WTA TV;RTVE Play;
11:00;WTA Madrid 2ª Ronda;V. Azarenka;T. Maria;WTA TV;RTVE Play;
12:30;Masters Madrid 1ª Ronda;C. O'Connell;M. Arnaldi;ATP Tennis TV;RTVE Play;
12:30;Masters Madrid 1ª Ronda;D. Lajovic;T. Monteiro;ATP Tennis TV;RTVE Play;
12:30;Masters Madrid 1ª Ronda;M. Purcell;M. Giron;ATP Tennis TV;RTVE Play;
12:30;Masters Madrid 1ª Ronda;R. Gasquet;L. Sonego;ATP Tennis TV;RTVE Play;
12:30;WTA Madrid 2ª Ronda;E. Arango;D. Yastremska;WTA TV;RTVE Play;
12:30;WTA Madrid 2ª Ronda;N. Osaka;L. Samsonova;WTA TV;RTVE Play;
12:30;WTA Madrid 2ª Ronda;N. Podoroska;E. Navarro;WTA TV;RTVE Play;
14:00;Masters Madrid 1ª Ronda;Y. Hanfmann;J. Mensik;ATP Tennis TV;RTVE Play;
14:00;Masters Madrid 1ª Ronda;Zh. Zhang;M. Kecmanovic;ATP Tennis TV;RTVE Play;
14:00;WTA Madrid 2ª Ronda;A. Eala;S. Cirstea;WTA TV;RTVE Play;
14:00;WTA Madrid 2ª Ronda;B. Haddad Maia;TBD;WTA TV;RTVE Play;
14:00;WTA Madrid 2ª Ronda;C. Gauff;A. Rus;WTA TV;RTVE Play;
15:30;Masters Madrid 1ª Ronda;A. Kovacevic;H. Medjedovic;ATP Tennis TV;RTVE Play;
15:30;Masters Madrid 1ª Ronda;A. Ramos;P. Kotov;ATP Tennis TV;RTVE Play;
15:30;WTA Madrid 2ª Ronda;E. Mertens;S. Stephens;WTA TV;RTVE Play;
15:30;WTA Madrid 2ª Ronda;M. Carle;V. Kudermetova;WTA TV;RTVE Play;
17:00;Masters Madrid 1ª Ronda;A. Michelsen;J. Fonseca;ATP Tennis TV;RTVE Play;
17:00;WTA Madrid 2ª Ronda;A. Schmiedlova;O. Jabeur;WTA TV;RTVE Play;
17:00;WTA Madrid 2ª Ronda;L. Fernández;A. Potapova;WTA TV;RTVE Play;
BaloncestoESP;
